session_id,customer_id,session_date,day_of_week,hour,season,customer_age,gender,income_level,city_tier,device,acquisition_channel,customer_segment,previous_orders,days_since_last_order,session_duration_min,pages_viewed,products_viewed,searches,add_to_cart,cart_items,wishlist_added,discount_exposed,discount_pct,free_shipping,campaign_exposed,campaign_type,offer_type,offer_value,estimated_delivery_days,delivery_delay_days,customer_rating_history,payment_method,category,price_band,items_purchased,purchase,order_value,returned,return_days,customer_satisfaction,profit_margin_pct,repeat_customer,high_intent_session,engagement_score,discount_dependency,cart_conversion,customer_total_spend,customer_avg_order_value,customer_return_rate,customer_value_segment,time_since_previous_purchase_days,next_purchase_days
SESS1000000,CUST102919,2024-05-22,Wednesday,17,Summer,42,Female,Upper-Middle,Tier 3,Mobile,Direct,Regular,3,223.0,2.92,2,0,1,False,0,False,True,18.0,False,True,New Launch,Cashback,261.0,4,0,3.7,UPI,Sports & Fitness,Value,1,True,1323.35,True,1,3.1,6.02,True,False,4.0,0.629,,1323.35,1323.35,1.0,Mid Value,223.0,5.1
SESS1000001,CUST117097,2024-08-29,Thursday,14,Monsoon,44,Male,Upper-Middle,Tier 2,Mobile,Organic Search,Regular,3,15.0,4.28,7,4,0,False,0,False,True,8.0,False,True,Flash Sale,Cashback,99.0,4,0,4.9,Credit Card,Mobiles,Luxury,0,False,0.0,False,0,,,True,False,13.2,0.557,,2544.69,2544.69,0.0,Mid Value,15.0,6.4
SESS1000002,CUST113225,2024-08-07,Wednesday,15,Monsoon,26,Male,High,Tier 1,Desktop,Direct,Regular,4,16.0,4.23,8,7,2,False,0,False,True,29.0,True,False,None,None,0.0,2,2,4.1,Cash on Delivery,Mobiles,Luxury,0,False,0.0,False,0,,,True,False,21.0,0.707,,4027.75,1006.94,0.25,Mid Value,16.0,22.7
SESS1000003,CUST109999,2025-01-02,Thursday,13,Winter Sale,31,Male,Upper-Middle,Tier 3,Tablet,Social Media,Loyal,9,2.0,4.54,10,7,1,True,1,False,False,0.0,False,False,None,None,0.0,6,0,4.7,Debit Card,Electronics,Premium,1,True,9940.12,False,0,4.0,14.91,True,False,31.5,0.0,1.0,10598.47,3532.82,0.0,High Value,2.0,13.1
SESS1000004,CUST109968,2024-09-11,Wednesday,13,Festive Lead-in,29,Male,Lower-Middle,Tier 1,Mobile,Social Media,New,0,,8.1,6,2,1,False,0,False,False,0.0,False,True,Seasonal Sale,Flat Amount Off,228.0,3,0,4.3,Debit Card,Home & Kitchen,Value,0,False,0.0,False,0,,,False,False,13.6,0.0,,0.0,0.0,0.0,No Purchase Yet,,76.9
SESS1000005,CUST102666,2025-08-12,Tuesday,21,Monsoon,29,Male,Upper-Middle,Tier 3,Desktop,Affiliate,Regular,3,14.0,12.65,3,1,2,False,0,True,True,12.0,True,True,Flash Sale,Free Gift,191.0,2,4,3.5,Cash on Delivery,Home & Kitchen,Value,0,False,0.0,False,0,,,True,False,14.0,0.586,,112.65,112.65,0.0,Low Value,14.0,5.3
SESS1000006,CUST113189,2024-06-08,Saturday,14,Summer,42,Female,Lower-Middle,Tier 2,Mobile,Social Media,Occasional,2,12.0,5.87,5,3,0,False,0,True,True,36.0,False,False,None,None,0.0,5,0,3.8,UPI,Fashion,Budget,0,False,0.0,False,0,,,True,False,11.1,0.757,,0.0,0.0,0.0,No Purchase Yet,12.0,46.0
SESS1000007,CUST102268,2024-10-13,Sunday,19,Festive Season,18,Female,Upper-Middle,Tier 3,Mobile,Organic Search,Regular,6,37.0,6.12,4,4,0,False,0,False,True,17.0,True,False,None,None,0.0,6,2,3.9,UPI,Sports & Fitness,Value,0,False,0.0,False,0,,,True,False,11.6,0.621,,5111.15,2555.57,0.0,Mid Value,37.0,39.7
SESS1000008,CUST121385,2025-01-04,Saturday,13,Winter Sale,31,Male,Upper-Middle,Tier 2,Desktop,Paid Search,Occasional,1,29.0,6.74,10,6,2,False,0,False,False,0.0,False,False,None,None,0.0,8,2,3.5,UPI,Footwear,Value,0,False,0.0,False,0,,,True,False,23.1,0.0,,1570.51,785.26,0.5,Mid Value,29.0,60.0
SESS1000009,CUST112821,2024-08-12,Monday,17,Monsoon,31,Female,Upper-Middle,Tier 1,Mobile,Paid Search,New,0,,7.93,5,3,2,True,2,True,True,14.0,True,True,Loyalty Reward,Cashback,48.0,4,7,4.1,Credit Card,Fashion,Value,0,False,0.0,False,0,,,False,False,25.4,0.6,0.0,0.0,0.0,0.0,No Purchase Yet,,9.3
SESS1000010,CUST122726,2024-09-05,Thursday,20,Festive Lead-in,36,Female,High,Tier 3,Mobile,Direct,Regular,3,3.0,2.79,1,1,0,False,0,False,False,0.0,True,True,Seasonal Sale,Buy One Get One,101.0,3,3,3.7,Credit Card,Fashion,Budget,0,False,0.0,False,0,,,True,False,2.8,0.0,,29640.07,14820.04,0.0,High Value,3.0,0.7
SESS1000011,CUST108444,2025-09-05,Friday,21,Festive Lead-in,40,Female,Low,Tier 2,Desktop,Direct,Occasional,2,214.0,9.24,12,10,2,True,4,False,True,42.0,True,False,None,None,0.0,1,0,3.6,UPI,Sports & Fitness,Budget,0,False,0.0,False,0,,,True,True,41.8,0.8,0.0,205.7,205.7,0.0,Low Value,214.0,23.3
SESS1000012,CUST122172,2025-11-23,Sunday,13,Festive Season,35,Male,Lower-Middle,Tier 2,Mobile,Affiliate,Regular,3,39.0,1.06,1,1,1,False,0,False,True,26.0,False,True,Seasonal Sale,Percentage Off,286.0,6,4,4.7,Net Banking,Footwear,Budget,1,True,564.47,False,0,4.3,10.38,True,False,3.2,0.686,,564.47,564.47,0.0,Mid Value,39.0,1.7
SESS1000013,CUST101540,2025-01-31,Friday,18,Winter Sale,30,Female,Upper-Middle,Tier 1,Mobile,Affiliate,Occasional,2,149.0,11.27,4,3,1,True,1,False,True,6.0,False,True,Seasonal Sale,Free Gift,70.0,7,0,5.0,UPI,Home & Kitchen,Premium,1,True,629.49,False,0,3.6,25.29,True,False,25.1,0.543,1.0,42631.46,6090.21,0.143,High Value,149.0,38.1
SESS1000014,CUST103028,2024-08-20,Tuesday,19,Monsoon,24,Male,Upper-Middle,Tier 3,Mobile,Social Media,Regular,4,47.0,8.03,6,3,2,False,0,False,True,39.0,True,True,Flash Sale,Percentage Off,465.0,4,0,4.4,Cash on Delivery,Toys & Baby,Budget,1,True,766.96,True,5,3.5,5.11,True,False,16.4,0.779,,1858.26,619.42,0.333,Mid Value,47.0,9.1
SESS1000015,CUST124427,2024-03-02,Saturday,22,Spring,34,Male,Lower-Middle,Tier 2,Mobile,Organic Search,Loyal,8,35.0,10.55,8,4,4,False,0,False,False,0.0,False,False,None,None,0.0,4,0,4.8,Debit Card,Mobiles,Luxury,0,False,0.0,False,0,,,True,False,24.1,0.0,,1783.11,594.37,0.0,Mid Value,35.0,21.7
SESS1000016,CUST123843,2024-05-16,Thursday,14,Summer,18,Male,High,Tier 3,Desktop,Social Media,Regular,6,48.0,5.73,7,4,2,False,0,False,True,18.0,False,False,None,None,0.0,2,0,4.1,Cash on Delivery,Beauty & Personal Care,Value,0,False,0.0,False,0,,,True,False,17.1,0.629,,3547.36,1773.68,0.0,Mid Value,48.0,16.4
SESS1000017,CUST116491,2024-08-14,Wednesday,12,Monsoon,34,Male,Lower-Middle,Tier 3,Mobile,Email,Regular,3,56.0,2.91,4,0,0,False,0,False,False,0.0,True,True,Loyalty Reward,Percentage Off,641.0,6,0,4.7,Wallet,Mobiles,Premium,0,False,0.0,False,0,,,True,False,4.3,0.0,,3340.81,1113.6,0.333,Mid Value,56.0,6.2
SESS1000018,CUST112078,2024-09-20,Friday,20,Festive Lead-in,24,Female,Lower-Middle,Tier 2,Mobile,Organic Search,Occasional,2,204.0,7.16,4,3,1,True,4,True,True,32.0,False,True,Loyalty Reward,Percentage Off,305.0,3,0,4.7,Cash on Delivery,Books & Stationery,Budget,1,True,158.59,False,0,4.2,23.7,True,False,22.5,0.729,1.0,3914.18,1957.09,0.0,Mid Value,204.0,99.6
